Number,image,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
36998,https://www.wga.hu/detail/s/schiavo/zembroi2.jpg,"SCHIAVO, Paolo","(b. 1397, Firenze, d. 1478, Pisa)",Tissue of the main altar (detail),c. 1466,Embroidery,"Cappella Ubriachi, Santa Maria Novella, Florence",tapestry,religious,Italian,1401-1450,Scenes from the life of the Madonna.
37061,https://www.wga.hu/detail/s/schinkel/2/4koblen2.jpg,"SCHINKEL, Karl Friedrich","(b. 1781, Neuruppin, d. 1841, Berlin)",Interior view,1825-45,Photo,"Burg Stolzenfels, near Koblenz",architecture,interior,German,1801-1850,The photo shows the Knights' Great Hall.
37062,https://www.wga.hu/detail/s/schinkel/2/4koblen3.jpg,"SCHINKEL, Karl Friedrich","(b. 1781, Neuruppin, d. 1841, Berlin)",Interior view,1825-45,Photo,"Burg Stolzenfels, near Koblenz",architecture,interior,German,1801-1850,The photo shows the Knights' Chamber.
37069,https://www.wga.hu/detail/s/schluter/schloss1.jpg,"SCHL?TER, Andreas","(b. ca. 1660, Hamburg, d. 1714, St. Petersburg)",Exterior view,begun 1698,Photo,"Stadtschloss, Berlin",architecture,other,German,1651-1700,The picture shows the gateway of the palace.
37070,https://www.wga.hu/detail/s/schluter/schloss2.jpg,"SCHL?TER, Andreas","(b. ca. 1660, Hamburg, d. 1714, St. Petersburg)",Interior view,begun 1698,Photo,"Stadtschloss, Berlin",architecture,interior,German,1651-1700,The picture shows the great staircase hall of the palace.
37124,https://www.wga.hu/detail/s/schongau/martin/graphics/st_john.jpg,"SCHONGAUER, Martin","(b. ca. 1430, Colmar, d. 1491, Breisach)",St John on Patmos,1489-74,"Engraving, 159 x 114 mm","Metropolitan Museum of Art, New York",graphics,religious,German,1451-1500,This composition shows the saint in the lower right-hand corner looking up at the vision of the Madonna and Child of the Apocalypse in the sky.
37157,https://www.wga.hu/detail/s/schut/corneli3/noblewom.jpg,"SCHUT, Cornelis III","(b. ca. 1629, Antwerpen, d. 1685, Sevilla)",Noblewoman with a Servant,1682,Oil on canvas,Private collection,painting,portrait,Flemish,1651-1700,This painting shows a young woman at the age of 15 years.
37158,https://www.wga.hu/detail/s/schwanth/johann/margaret.jpg,"SCHWANTHALER, Johann Franz","(b. 1683, Ried im Innkreis, d. 1762, Ried im Innkreis)",St Margaret,c. 1750,"Wood, painted and gilded","Parish church, Wippenham bei Ried",sculpture,religious,Austrian,1701-1750,The statue of St Margaret.
37188,https://www.wga.hu/detail/s/scorel/z_view.jpg,"SCOREL, Jan van","(b. 1495, Schoorl, d. 1562, Utrecht)",View of Bethlehem,1520-21,"Pen and brown ink, 173 x 298 mm","British Museum, London",graphics,religious,Dutch,1501-1550,The drawing depicts a group of ruined buildings with the Convent of the Nativity to left.
37236,https://www.wga.hu/detail/s/seeman/portgent.jpg,"SEEMAN, Enoch","(b. ca. 1694, Danzig, d. 1744, London)",Portrait of a Gentleman,-,"Oil on canvas, 76 x 63 cm",Private collection,painting,portrait,English,1701-1750,"The unidentified gentleman is depicted half-length, in a blue coat and red waistcoat with gold brocade."
37244,https://www.wga.hu/detail/s/seghers/daniel/garland1.jpg,"SEGHERS, Daniel","(b. 1590, Antwerpen, d. 1661, Antwerpen)",Garland of Flowers,1650-52,"Oil on canvas, 129 x 97 cm","The Hermitage, St. Petersburg",painting,still life,Flemish,1601-1650,In the centre Christ and the infant John the Baptist are represented.
37245,https://www.wga.hu/detail/s/seghers/daniel/garland2.jpg,"SEGHERS, Daniel","(b. 1590, Antwerpen, d. 1661, Antwerpen)",Garland of Flowers,-,"Oil on canvas, 155 x 114 cm",Private collection,painting,still life,Flemish,1601-1650,The picture shows floral decorations around a niche with St Joseph and the Christ Child.
37263,https://www.wga.hu/detail/s/segna/crucifi1.jpg,SEGNA DI BUONAVENTURE,"(doc. 1298, Siena, d. ca. 1331, Siena)",Crucifix (detail),1310-15,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows the mourning Madonna.
37264,https://www.wga.hu/detail/s/segna/crucifi2.jpg,SEGNA DI BUONAVENTURE,"(doc. 1298, Siena, d. ca. 1331, Siena)",Crucifix (detail),1310-15,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1301-1350,The detail shows St John the Evangelist.
37305,https://www.wga.hu/detail/s/serlio/palazzo2.jpg,"SERLIO, Sebastiano","(b. 1475, Bologna, d. ca. 1554, Fontainebleau)",Plan of a Venetian palazzo,1537,Drawing,"Bayerische Staatsbibliothek, Munich",architecture,study,Italian,1501-1550,This drawing shows the plan and elevation of a palazzo.
37313,https://www.wga.hu/detail/s/serov/02serov.jpg,"SEROV, Valentin","(b. 1865, St. Petersburg, d. 1911, Moscow)",Two Boys,1899,"Oil on canvas, 71 x 54 cm","State Tretyakov Gallery, Moscow",painting,portrait,Russian,1851-1900,The painting represents the two children.
37350,https://www.wga.hu/detail/s/seurat/figures/bathers2.jpg,"SEURAT, Georges","(b. 1859, Paris, d. 1891, Paris)",Study for Bathers at Asni?res,1883-84,"Oil on canvas, 15 x 25 cm","Courtauld Gallery, London",painting,study,French,1851-1900,This study depicts a white and a black horse in the Seine.
37374,https://www.wga.hu/detail/s/seymour/saddled.jpg,"SEYMOUR, James","(b. ca. 1702, London, d. 1752, London)",A Saddled Grey,1741,"Oil on canvas, 63 x 76 cm",Private collection,painting,other,English,1701-1750,The painting depicts a saddled grey with a liveried groom outside a country house.
37379,https://www.wga.hu/detail/s/shchedri/feodosy/caryatid.jpg,"SHCHEDRIN, Feodosy Fyodorovich","(b. 1751, St. Petersburg, d. 1825, St. Petersburg)",Caryatids,1812,Stone,"Admiralty, St. Petersburg",sculpture,mythological,Russian,1751-1800,The picture shows a group of caryatids from the entrance.
37392,https://www.wga.hu/detail/s/siberech/pastorax.jpg,"SIBERECHTS, Jan","(b. 1627, Antwerpen, d. ca. 1703, London)",Pastoral Landscape (detail),1683,Oil on canvas,Private collection,painting,landscape,Flemish,1651-1700,"The detail shows a shepherdess on a donkey carrying a basket of flowers, and fording a stream."
37397,https://www.wga.hu/detail/s/siberech/woodedla.jpg,"SIBERECHTS, Jan","(b. 1627, Antwerpen, d. ca. 1703, London)",Wooded Landscape,1668,"Oil on canvas, 112 x 159 cm",Private collection,painting,landscape,Flemish,1651-1700,This painting depicts a wooded landscape with peasants in a horse-drawn cart travelling down a flooded road.
37415,https://www.wga.hu/detail/s/signorel/brizio/1/1antich3.jpg,"SIGNORELLI, Luca","(b. ca. 1450, Cortona, d. 1523, Cortona)",Sermon and Deeds of the Antichrist (detail),1499-1502,Fresco,"Chapel of San Brizio, Duomo, Orvieto",painting,religious,Italian,1451-1500,The detail shows the self-portrait and the portrait of Fra Angelico.
37417,https://www.wga.hu/detail/s/signorel/brizio/1/1antich6.jpg,"SIGNORELLI, Luca","(b. ca. 1450, Cortona, d. 1523, Cortona)",Sermon and Deeds of the Antichrist (detail),1499-1502,Fresco,"Chapel of San Brizio, Duomo, Orvieto",painting,religious,Italian,1451-1500,The detail shows a young woman selling her body to an old merchant.
37434,https://www.wga.hu/detail/s/signorel/brizio/3/4damned8.jpg,"SIGNORELLI, Luca","(b. ca. 1450, Cortona, d. 1523, Cortona)",The Damned (detail),1499-1502,Fresco,"Chapel of San Brizio, Duomo, Orvieto",painting,religious,Italian,1451-1500,The detail shows a group of devils and damned souls.
37437,https://www.wga.hu/detail/s/signorel/brizio/4/6paradi1.jpg,"SIGNORELLI, Luca","(b. ca. 1450, Cortona, d. 1523, Cortona)",The Elect Being Called to Paradise,1499-1502,Fresco,"Chapel of San Brizio, Duomo, Orvieto",painting,religious,Italian,1451-1500,In this scene nine angels show to the blessed the way to Heaven.
37472,https://www.wga.hu/detail/s/signorel/loreto/2conver.jpg,"SIGNORELLI, Luca","(b. ca. 1450, Cortona, d. 1523, Cortona)",The Conversion of Paul,1477-82,"Fresco, 238 x 200 cm","Basilica of Santa Casa, Loreto",painting,religious,Italian,1451-1500,The Conversion of Paul.
37478,https://www.wga.hu/detail/s/signorel/sistina/mose.jpg,"SIGNORELLI, Luca","(b. ca. 1450, Cortona, d. 1523, Cortona)",Scenes on the left wall,1481-82,Fresco,"Cappella Sistina, Vatican",painting,religious,Italian,1451-1500,The depicted scenes are the Moses's Testament and the Punishment of Corah.
37513,https://www.wga.hu/detail/s/silo/shipping.jpg,"SILO, Adam","(b. ca. 1674, Amsterdam, d. 1772, Amsterdam)",A Dutch Whaler and Other Vessels in the Ice,c. 1757,"Oil on canvas, 44 x 62 cm","National Maritime Museum, Greenwich",painting,landscape,Dutch,1701-1750,Various types of Dutch shipping and the effects of a cold winter are depicted in this winter seascape.
37526,https://www.wga.hu/detail/s/siloe/gil/mainalt1.jpg,"SILO?, Gil de","(d. ca. 1501, Burgos)",Main Altar (detail),1496-99,Wood,"Monastery of Miraflores, Burgos",sculpture,religious,Spanish,1451-1500,The detail represents the Last Supper.
37542,https://www.wga.hu/detail/s/siloe/gil/mainalt2.jpg,"SILO?, Gil de","(d. ca. 1501, Burgos)",Main Altar (detail),1496-99,Wood,"Monastery of Miraflores, Burgos",sculpture,religious,Spanish,1451-1500,The detail shows St Catherine.
37587,https://www.wga.hu/detail/s/simone/2maesta/maesta041.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,"This detail shows an angel kneeling, St John the Evangelist, St Ursula, and apostles."
37588,https://www.wga.hu/detail/s/simone/2maesta/maesta05.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail),1315,"Fresco, 79 x 65 cm (size of detail)","Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The detail shows Saint Catherine of Alexandria.
37589,https://www.wga.hu/detail/s/simone/2maesta/maesta061.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,"This detail shows St Crescentius (kneeling), St John the Baptist, St Agnes, Archangel Gabriel, and apostles."
37590,https://www.wga.hu/detail/s/simone/2maesta/maesta07.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail),1315,"Fresco, 79 x 65 cm (size of detail)","Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The detail shows Saint Barbara.
37592,https://www.wga.hu/detail/s/simone/2maesta/maesta09.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The picture shows a detail of the frame: medallion with Christ Blessing.
37593,https://www.wga.hu/detail/s/simone/2maesta/maesta10.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The picture shows a detail of the frame: medallion with Pope Gregory the Great.
37594,https://www.wga.hu/detail/s/simone/2maesta/maesta11.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail of the medallions),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The medallion represents the Allegory of the Old and New Law.
37595,https://www.wga.hu/detail/s/simone/2maesta/maesta12.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail of the medallions),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The medallion depicting the Madonna and Child.
37596,https://www.wga.hu/detail/s/simone/2maesta/maesta13.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail of the medallions),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The medallion depicting the Madonna and Child.
37601,https://www.wga.hu/detail/s/simone/2maesta/maesta021.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,This detail shows the enthroned Madonna with Child.
37606,https://www.wga.hu/detail/s/simone/2maesta/maesta08.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Maest? (detail of the medallions),1315,Fresco,"Palazzo Pubblico, Siena",painting,religious,Italian,1301-1350,The medallion represents St Gregory.
37613,https://www.wga.hu/detail/s/simone/3assisi/scenes/31knight.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",St Martin is Knighted (detail),1320-25,"Fresco, 87 x 61 cm (size of detail)","Cappella di San Martino, Lower Church, San Francesco, Assisi",painting,religious,Italian,1301-1350,"Musicians, singers, equerries with weapons and falconers all witness the scene taking place inside a palace."
37618,https://www.wga.hu/detail/s/simone/3assisi/scenes/42renoun.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Saint Martin Renounces his Weapons (detail),1320-25,Fresco,"Cappella di San Martino, Lower Church, San Francesco, Assisi",painting,religious,Italian,1301-1350,"To the left, the Roman camp a group of soldiers and the treasurer distributing money to the mercenaries."
37644,https://www.wga.hu/detail/s/simone/4altars/3pisa/2pisa.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Polyptych of Santa Caterina (detail),1319,Tempera on wood,"Museo Nazionale di San Matteo, Pisa",painting,religious,Italian,1301-1350,"The detail shows Saints Mary Magdalene, Dominic and John the Evangelist."
37645,https://www.wga.hu/detail/s/simone/4altars/3pisa/3pisa.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Polyptych of Santa Caterina (detail),1319,Tempera on wood,"Museo Nazionale di San Matteo, Pisa",painting,religious,Italian,1301-1350,"The detail shows Saints Peter Martyr and Catherine, and Saints Agnes, Ambrose, Ursula and Lawrence."
37650,https://www.wga.hu/detail/s/simone/4altars/4orvieto/22boston.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Boston Polyptych (detail),1321-25,"Tempera on wood, 137 x 102 cm","Isabella Stewart Gardner Museum, Boston",painting,religious,Italian,1301-1350,The Madonna and Child.
37658,https://www.wga.hu/detail/s/simone/4altars/5agostin/3agostin.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Blessed Agostino Novello Altarpiece (detail),1324,"Tempera on wood, 82 x 67 cm","Pinacoteca Nazionale, Siena",painting,religious,Italian,1301-1350,Child Attacked by a Wolf.
37659,https://www.wga.hu/detail/s/simone/4altars/5agostin/4agostin.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Blessed Agostino Novello Altarpiece (detail),1324,"Tempera on wood, 65 x 67 cm","Pinacoteca Nazionale, Siena",painting,religious,Italian,1301-1350,Child Falling from a Balcony.
37660,https://www.wga.hu/detail/s/simone/4altars/5agostin/5agostin.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Blessed Agostino Novello Altarpiece (detail),1324,"Tempera on wood, 82 x 67 cm","Pinacoteca Nazionale, Siena",painting,religious,Italian,1301-1350,Knight Falling Down a Ravine.
37661,https://www.wga.hu/detail/s/simone/4altars/5agostin/6agostin.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Blessed Agostino Novello Altarpiece (detail),1324,"Tempera on wood, 65 x 67 cm","Pinacoteca Nazionale, Siena",painting,religious,Italian,1301-1350,Child Falling out of his Cradle.
37662,https://www.wga.hu/detail/s/simone/4altars/4orvieto/11orviet.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Orvieto Polyptych (detail),c. 1321,"Tempera on wood, 94 x 48,5 cm","Museo dell'Opera del Duomo, Orvieto",painting,religious,Italian,1301-1350,The picture shows the panel with Mary Magdalene.
37672,https://www.wga.hu/detail/s/simone/5foglian/foglian3.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Equestrian Portrait of Guidoriccio da Fogliano (detail),c. 1330,Fresco,"Palazzo Pubblico, Siena",painting,portrait,Italian,1301-1350,The picture shows the detail of the knight.
37673,https://www.wga.hu/detail/s/simone/5foglian/foglian5.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Equestrian Portrait of Guidoriccio da Fogliano (detail),c. 1330,Fresco,"Palazzo Pubblico, Siena",painting,portrait,Italian,1301-1350,The detail shows the view of the village.
37675,https://www.wga.hu/detail/s/simone/5foglian/foglian7.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Equestrian Portrait of Guidoriccio da Fogliano (detail),c. 1330,Fresco,"Palazzo Pubblico, Siena",painting,portrait,Italian,1301-1350,The picture shows the detail of the camp.
37680,https://www.wga.hu/detail/s/simone/6annunci/ann_2st2.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Annunciation and Two Saints (detail),1333,Tempera on wood,"Galleria degli Uffizi, Florence",painting,religious,Italian,1301-1350,"In this detail, Madonna draws back timidly from the apparition of the angel Gabriel."
37689,https://www.wga.hu/detail/s/simone/5foglian/foglian6.jpg,SIMONE MARTINI,"(b. 1280/85, Siena, d. 1344, Avignon)",Equestrian Portrait of Guidoriccio da Fogliano (detail),c. 1330,Fresco,"Palazzo Pubblico, Siena",painting,portrait,Italian,1301-1350,The detail shows the view of the castle.
37700,https://www.wga.hu/detail/s/sirani/elisabet/st_john.jpg,"SIRANI, Elisabetta","(b. 1638, Bologna, d. 1665, Bologna)",Young St John the Baptist,1665,"Oil on canvas laid on panel, 70 x 48 cm",Private collection,painting,religious,Italian,1651-1700,Young St John the Baptist.
37766,https://www.wga.hu/detail/s/sluter/philip/2philip.jpg,"SLUTER, Claus","(b. ca. 1350, Haarlem, d. 1406, Dijon)",Memorial to Philip the Bold (detail),1389-1406,Stone,"Charterhouse of Champmol, Dijon",sculpture,religious,Netherlandish,1351-1400,Philip the Bold introduced to the Madonna.
37780,https://www.wga.hu/detail/s/smith/woodedla.jpg,"SMITH, George","(b. ca. 1714, Chicester, d. 1776, Chichester)",Wooded Landscape,-,"Oil on canvas, 64 x 97 cm",Private collection,painting,landscape,English,1751-1800,"This canvas shows a wooded landscape with a country house, classical ruins on a distant hill, and three travellers resting in the foreground"
37796,https://www.wga.hu/detail/s/snellinc/triptyc2.jpg,"SNELLINCK, Jan I","(b. ca. 1544, Mechelen, d. 1638, Antwerpen)",Triptych (detail),1601,Panel,"Sint-Romboutskathedraal, Mechelen",painting,religious,Flemish,1551-1600,The Resurrection of Christ.
37797,https://www.wga.hu/detail/s/snellinc/triptyc3.jpg,"SNELLINCK, Jan I","(b. ca. 1544, Mechelen, d. 1638, Antwerpen)",Triptych (detail),1601,Panel,"Sint-Romboutskathedraal, Mechelen",painting,religious,Flemish,1551-1600,The Resurrection of Christ.
37805,https://www.wga.hu/detail/s/snyders/1/kitchen.jpg,"SNYDERS, Frans","(b. 1579, Antwerpen, d. 1657, Antwerpen)",Kitchen still life,1605-10,"Oil on canvas, 138 x 246 cm",Private collection,painting,still life,Flemish,1601-1650,A kitchen still life with a woman shucking oysters and a maid preparing vegetables in the background.
37828,https://www.wga.hu/detail/s/snyders/2/stillif2.jpg,"SNYDERS, Frans","(b. 1579, Antwerpen, d. 1657, Antwerpen)",still life,1640s,"Oil on panel, 50 x 84 cm",Private collection,painting,still life,Flemish,1601-1650,"A still life with peaches in a tazza, cobnuts on a pewter plate, blackberries in a basket, with pears and a squirrel on a table."
37860,https://www.wga.hu/detail/s/sodoma/monteoli/scene04.jpg,"SODOMA, Il","(b. 1477, Vercelli, d. 1549, Siena)","Life of St Benedict, Scene 4: The Monk Romanus Dresses Benedict (detail)",1505-08,Fresco,"Abbazia, Monteoliveto Maggiore",painting,religious,Italian,1501-1550,The monk Romanus dressing Benedict in the robe of a hermit.
37988,https://www.wga.hu/detail/s/somer/port_unk.jpg,"SOMER, Paulus van","(b. ca. 1576, Antwerpen, d. 1621, London)",An Unknown Noblewoman,c. 1620,"Oil on canvas, 60 x 54 cm",Private collection,painting,portrait,Flemish,1601-1650,Jacobean lady's fashionable saffron lace ruff and rich satin red dress intricately embroidered with gold.
37995,https://www.wga.hu/detail/s/sommarug/castigl4.jpg,"SOMMARUGA, Giuseppe","(b. 1869, Milano, d. 1917, Milano)",Palazzo Castiglioni: staircase,1904,Photo,"Corso Venezia 47-49, Milan",architecture,interior,Italian,1851-1900,The photo shows the staircase.
38010,https://www.wga.hu/detail/s/son/stil_lif.jpg,"SON, Joris van","(b. 1623, Antwerpen, d. 1667, Antwerpen)",still life,1645-50,"Oil on oak panel, 45 x 60 cm",Private collection,painting,still life,Flemish,1651-1700,"This painting represents a still life wit crabs, peaches, apricots, grapes and a partly peeled lemon, with glasses behind, on a partly-draped table."
38011,https://www.wga.hu/detail/s/son/still_li.jpg,"SON, Joris van","(b. 1623, Antwerpen, d. 1667, Antwerpen)",still life,1654,"Oil on canvas, 60 x 44 cm",Private collection,painting,still life,Flemish,1651-1700,"This still life includes grapes, a melon, an orange, plums and oysters in a stone niche."
38012,https://www.wga.hu/detail/s/son/stillif1.jpg,"SON, Joris van","(b. 1623, Antwerpen, d. 1667, Antwerpen)",still life,1654,"Oil on canvas, 30 x 35 cm",Private collection,painting,still life,Flemish,1651-1700,The painting shows a still life of fruit in a bowl with oysters and grapes.
38024,https://www.wga.hu/detail/s/sorgh/interior.jpg,"SORGH, Hendrick Maertensz.","(b. ca. 1610, Rotterdam, d. 1670, Rotterdam)",An Interior Scene,-,"Oil on panel, 29 x 28 cm",Private collection,painting,interior,Dutch,1601-1650,The painting depicts an interior scene with two peasants eating herrings and drinking.
38056,https://www.wga.hu/detail/s/spadino/bartolom/still_li.jpg,"SPADINO, Bartolomeo","(b. 1696, Roma, d. 1738, Roma)",still life,-,"Oil on canvas, 97 x 72 cm",Private collection,painting,still life,Italian,1701-1750,"This canvas depicts a still life with melon, apples, figs and grapes."
38060,https://www.wga.hu/detail/s/spadino/giovanni/stillif3.jpg,"SPADINO, Giovanni Paolo","(b. 1659, Roma, d. ca. 1730, Roma)",still life,1690-1710,"Oil on canvas, 84 x 77 cm",Private collection,painting,still life,Italian,1651-1700,"This still life depicts grapes, melon, pumpkins, granades and peaches."
38160,https://www.wga.hu/detail/s/spitzweg/theangle.jpg,"SPITZWEG, Carl","(b. 1808, M?nchen, d. 1885, M?nchen)",The Angler,-,"Oil on wood, 25,5 x 18 cm","Gem?ldegalerie, Dresden",painting,genre,German,1801-1850,The figure of the angling monk.
38191,https://www.wga.hu/detail/s/stanchi/stilllif1.jpg,"STANCHI, Giovanni","(b. 1608, Roma, d. ca. 1673, Roma)",still life,-,Oil on canvas,Private collection,painting,still life,Italian,1601-1650,This still life depicts fruit piled high on a plate beside a bronze urn filled with flowers.
38192,https://www.wga.hu/detail/s/stanchi/stilllif2.jpg,"STANCHI, Giovanni","(b. 1608, Roma, d. ca. 1673, Roma)",still life,-,"Oil on canvas, 74 x 135 cm",Private collection,painting,still life,Italian,1601-1650,"This still life depicts flowers, fruits, vegetables and game."
38214,https://www.wga.hu/detail/s/starnina/thebaid1.jpg,"STARNINA, Gherardo di Jacopo","(b. ca. 1354, Firenze, d. 1409/13, Firenze)",Thebaid (detail),c. 1410,Tempera on wood,"Galleria degli Uffizi, Florence",painting,religious,Italian,1401-1450,The vast landscape is dotted with chapels and tiny dwellings.
38217,https://www.wga.hu/detail/s/starnina/vincent.jpg,"STARNINA, Gherardo di Jacopo","(b. ca. 1354, Firenze, d. 1409/13, Firenze)",St Vincent,c. 1410,"Tempera on panel, 67 x 35 cm","Museum of Fine Arts, Boston",painting,religious,Italian,1401-1450,This panel representing St Vincent.
38253,https://www.wga.hu/detail/s/steen/page2/cardgame.jpg,"STEEN, Jan","(b. 1626, Leiden, d. 1679, Leiden)",Argument over a Card Game,-,"Oil on canvas, 90 x 119 cm","Staatliche Museen, Berlin",painting,genre,Dutch,1651-1700,"This painting depicts a dissolute, drunken tavern scene."
38257,https://www.wga.hu/detail/s/steen/page2/contract.jpg,"STEEN, Jan","(b. 1626, Leiden, d. 1679, Leiden)",Marriage Contract,c. 1668,"Oil on canvas, 65 x 83 cm","The Hermitage, St. Petersburg",painting,genre,Dutch,1651-1700,In this picture the painter depicts the scene of a forced marriage.
38269,https://www.wga.hu/detail/s/steen/page2/kolfspel.jpg,"STEEN, Jan","(b. 1626, Leiden, d. 1679, Leiden)",Before an Inn,-,"Oil on panel, 50 x 68 cm",Private collection,painting,genre,Dutch,1651-1700,"This panel depicts figures before an inn, merry-making."
38284,https://www.wga.hu/detail/s/steenwij/harmen/stillif1.jpg,"STEENWIJCK, Harmen","(b. 1612, Delft, d. 1656, Leiden)",still life,1640,"Oil on panel, 27 x 39 cm",Private collection,painting,still life,Dutch,1601-1650,"The painting represents a still life with fruit, fish and dead game arranged on table-top."
38285,https://www.wga.hu/detail/s/steenwij/harmen/stillif2.jpg,"STEENWIJCK, Harmen","(b. 1612, Delft, d. 1656, Leiden)",still life,1640,"Oil on panel, 26 x 38 cm",Private collection,painting,still life,Dutch,1601-1650,"The painting represents a still life with fruit, fish and dead game arranged on table-top."
38287,https://www.wga.hu/detail/s/steenwij/harmen/stillif4.jpg,"STEENWIJCK, Harmen","(b. 1612, Delft, d. 1656, Leiden)",still life,-,"Oil on panel, 82 x 115 cm",Private collection,painting,still life,Dutch,1601-1650,"The painting shows a still life with a dead hare and duck, fish, vegetables and an earthenware flagon, on a draped table."
38330,https://www.wga.hu/detail/s/stella_f/altarpi2.jpg,"STELLA, Fermo da Caravaggio","(b. ca. 1490, Caravaggio, d. ca. 1562, Caravaggio)",Altarpiece (detail),-,Oil on panel,"Galleria Sabauda, Turin",painting,religious,Italian,1501-1550,The picture shows one of the predella panels: St George Slaying the Dragon.
38333,https://www.wga.hu/detail/s/stella_f/varallo.jpg,"STELLA, Fermo da Caravaggio","(b. ca. 1490, Caravaggio, d. ca. 1562, Caravaggio)",Christ Taking Leave of His Mother,-,Fresco,"Santa Maria delle Grazie, Varallo Sesia",painting,religious,Italian,1501-1550,This fresco shows Christ taking leave of his mother.
38387,https://www.wga.hu/detail/s/stone/tombcar1.jpg,"STONE, Nicholas the Elder","(b. 1586, Exeter, d. 1647, Exeter)",Tomb of Lady Elizabeth Carey,1617-18,"Marble, life-size","Stowe-Nine-Churches, Northamptonshire",sculpture,religious,English,1601-1650,The deceased lady seems to be sleeping.
38410,https://www.wga.hu/detail/s/stoskopf/stillify.jpg,"STOSKOPFF, S?bastien","(b. 1597, Strasbourg, d. 1657, Idstein)",still life,-,"Oil on canvas, 49 x 51 cm",Private collection,painting,still life,French,1601-1650,"This signed painting depicts a still life with a flagon of wine, glass and a loaf and a plate."
38414,https://www.wga.hu/detail/s/storck/jacobus/river_la.jpg,"STORCK, Jacobus","(b. 1641, Amsterdam, d. 1688, Amsterdam)",River Landscape,-,"Oil on canvas, 66 x 97 cm",Private collection,painting,landscape,Dutch,1651-1700,The painting depicts an imaginary town.
38417,https://www.wga.hu/detail/s/stoss/1open/1resurre.jpg,"STOSS, Veit","(b. ca. 1438, Horb, d. 1533, N?rnberg)",High Altar of St Madonna (Resurrection),1477-89,Wood,"Church of St. Madonna, Cracow",sculpture,religious,German,1451-1500,This is the Resurrection.
38418,https://www.wga.hu/detail/s/stoss/1open/2birth.jpg,"STOSS, Veit","(b. ca. 1438, Horb, d. 1533, N?rnberg)",High Altar of St Madonna (detail),1477-89,Wood,"Church of St. Madonna, Cracow",sculpture,religious,German,1451-1500,This is a detail of the the Birth of Christ.
